timestamp,symbol_profile,trade_type,shares,price,avg_cost_basis,rsi,macd_line,macd_signal,vwap,sma20,sma50,trend_15m,atr,risk_per_share,pnl,pnl_pct,cash_balance,reason,stop_price_triggered,trailing_stop_triggered
20250403 10:37:00 US/Eastern,HOOD_aggressive,BUY,25,37.7800,37.7800,34.59,-0.1074,-0.0896,38.6920,38.1165,0.0000,bearish,0.1882,0.2823,,,1036.24,"Buy Init: RSI(34.59)<=OS(35), 15mOK, >VWAP",37.498,
20250403 10:38:00 US/Eastern,CONL_aggressive,BUY,25,12.8800,12.8800,30.69,-0.0801,-0.0402,13.3457,13.2210,0.0000,bullish,0.1102,0.1653,,,714.24,"Buy Init: RSI(30.69)<=OS(35), 15mOK, >VWAP",12.715,
20250403 10:42:00 US/Eastern,CONL_aggressive,SELL,25,12.8400,12.8800,35.24,-0.1111,-0.0774,13.3157,13.1470,0.0000,bullish,0.1154,0.1653,-1.000,-0.311,1035.24,TrailingStopHit(12.841),,12.841
20250403 10:45:00 US/Eastern,CONL_aggressive,BUY,25,12.7500,12.7500,32.36,-0.1263,-0.0984,13.2956,13.0810,0.0000,bullish,0.1080,0.1620,,,716.49,"Buy Init: RSI(32.36)<=OS(35), 15mOK, >VWAP",12.588,
20250403 10:47:00 US/Eastern,HOOD_aggressive,SELL,25,37.6300,37.7800,35.44,-0.1395,-0.1251,38.6310,37.9320,0.0000,bearish,0.1672,0.2823,-3.750,-0.397,1657.24,TrailingStopHit(37.709),,37.709
20250403 10:48:00 US/Eastern,IBIT_aggressive,BUY,25,46.3100,46.3100,33.67,-0.0691,-0.0457,46.6763,46.5440,0.0000,bullish,0.0832,0.1248,,,499.49,"Buy Init: RSI(33.67)<=OS(35), 15mOK, >VWAP",46.185,
20250403 10:53:00 US/Eastern,CONL_aggressive,SELL,25,12.5400,12.7500,30.95,-0.1792,-0.1583,13.2146,12.7930,0.0000,bullish,0.0975,0.1620,-5.250,-1.647,812.99,TrailingStopHit(12.653),,12.653
20250403 11:05:00 US/Eastern,IBIT_aggressive,SELL,25,46.1900,46.3100,35.38,-0.0571,-0.0637,46.6285,46.2805,0.0000,bullish,0.0742,0.1248,-3.000,-0.259,1967.74,TrailingStopHit(46.241),,46.241
20250403 11:05:00 US/Eastern,TQQQ_aggressive,BUY,25,50.9100,50.9100,34.18,-0.2045,-0.2265,52.5189,51.1720,0.0000,bearish,0.2065,0.3098,,,694.99,"Buy Init: RSI(34.18)<=OS(35), 15mOK, >VWAP",50.600,
20250403 11:05:00 US/Eastern,SCHD_aggressive,BUY,25,26.9800,26.9800,34.52,-0.0159,-0.0128,27.1677,27.0310,0.0000,bearish,0.0302,0.1000,,,20.49,"Buy Init: RSI(34.52)<=OS(35), 15mOK, >VWAP",26.880,
20250403 11:12:00 US/Eastern,TQQQ_aggressive,SELL,7,51.4700,50.9100,57.28,-0.1176,-0.1932,52.4185,51.0800,0.0000,bearish,0.2274,0.3098,3.920,1.100,380.78,PartialTP 1 (1.5R @51.375),,
20250403 11:16:00 US/Eastern,TQQQ_aggressive,SELL,7,51.5800,50.9100,59.15,0.0022,-0.0988,52.3910,51.1380,0.0000,bearish,0.2341,0.3098,4.690,1.316,741.84,PartialTP 2 (2.0R @51.530),,
20250403 11:21:00 US/Eastern,TQQQ_aggressive,SELL,11,51.3700,50.9100,49.69,0.0679,0.0144,52.3618,51.2535,0.0000,bearish,0.2224,0.3098,5.060,0.904,1306.91,TrailingStopHit(51.503),,51.503
20250403 11:21:00 US/Eastern,UGL_aggressive,BUY,25,31.6600,31.6600,33.11,-0.0972,-0.0789,31.5368,31.8390,0.0000,bearish,0.0563,0.1000,,,515.41,"Buy Init: RSI(33.11)<=OS(35), 15mOK, >VWAP",31.560,
20250403 11:27:00 US/Eastern,UGL_aggressive,SELL,25,31.6700,31.6600,36.91,-0.0712,-0.0793,31.5420,31.7375,0.0000,bearish,0.0480,0.1000,0.250,0.032,1307.16,TrailingStopHit(31.672),,31.672
20250403 11:28:00 US/Eastern,UGL_aggressive,BUY,25,31.5800,31.5800,30.69,-0.0763,-0.0787,31.5420,31.7205,0.0000,bearish,0.0517,0.1000,,,517.66,"Buy Init: RSI(30.69)<=OS(35), 15mOK, >VWAP",31.480,
20250403 11:31:00 US/Eastern,SCHD_aggressive,SELL,25,26.9900,26.9800,39.17,-0.0048,-0.0035,27.1456,27.0195,0.0000,bearish,0.0276,0.1000,0.250,0.037,1192.41,TrailingStopHit(27.007),,27.007
20250403 11:39:00 US/Eastern,PSQ_aggressive,BUY,25,41.7400,41.7400,34.32,-0.0420,-0.0314,41.7265,41.8485,0.0000,bullish,0.0487,0.1000,,,148.91,"Buy Init: RSI(34.32)<=OS(35), 15mOK, >VWAP",41.640,
20250403 11:40:00 US/Eastern,UGL_aggressive,SELL,25,31.6200,31.5800,39.21,-0.0350,-0.0492,31.5462,31.6600,0.0000,bearish,0.0457,0.1000,1.000,0.127,939.41,TrailingStopHit(31.645),,31.645
20250403 11:46:00 US/Eastern,HIMS_aggressive,BUY,25,28.4200,28.4200,33.23,-0.0803,-0.0624,29.1426,28.7030,0.0000,bearish,0.1403,0.2105,,,228.91,"Buy Init: RSI(33.23)<=OS(35), 15mOK, >VWAP",28.210,
20250403 11:52:00 US/Eastern,HIMS_aggressive,SELL,25,28.2400,28.4200,30.29,-0.1473,-0.1103,29.1071,28.5850,0.0000,bearish,0.1438,0.2105,-4.500,-0.633,934.91,TrailingStopHit(28.267),,28.267
20250403 11:53:00 US/Eastern,HIMS_aggressive,BUY,25,28.2800,28.2800,33.24,-0.1493,-0.1181,29.1061,28.5645,0.0000,bearish,0.1385,0.2077,,,227.91,"Buy Init: RSI(33.24)<=OS(35), 15mOK, >VWAP",28.072,
20250403 11:54:00 US/Eastern,PSQ_aggressive,SELL,25,41.7700,41.7400,44.31,-0.0074,-0.0179,41.7290,41.7785,0.0000,bullish,0.0444,0.1000,0.750,0.072,1272.16,TrailingStopHit(41.807),,41.807
20250403 12:02:00 US/Eastern,HIMS_aggressive,SELL,7,28.6400,28.2800,57.43,-0.0503,-0.0933,29.0797,28.4270,0.0000,bearish,0.1304,0.2077,2.520,1.273,1472.64,PartialTP 1 (1.5R @28.592),,
20250403 12:02:00 US/Eastern,TLT_aggressive,BUY,16,91.9600,91.9600,34.80,-0.0670,-0.0634,92.4167,92.0830,0.0000,bearish,0.0673,0.1010,,,1.28,"Buy Init: RSI(34.80)<=OS(35), 15mOK, >VWAP",91.859,
20250403 12:06:00 US/Eastern,HIMS_aggressive,SELL,18,28.4300,28.2800,45.54,-0.0268,-0.0560,29.0638,28.4120,0.0000,bearish,0.1403,0.2077,2.700,0.530,513.02,TrailingStopHit(28.472),,28.472
20250403 12:11:00 US/Eastern,TLT_aggressive,SELL,16,91.9000,91.9600,35.51,-0.0545,-0.0566,92.4000,92.0070,0.0000,bearish,0.0680,0.1010,-0.960,-0.065,1983.42,TrailingStopHit(91.958),,91.958
20250403 12:18:00 US/Eastern,PSQ_aggressive,BUY,25,41.6100,41.6100,33.42,-0.0370,-0.0280,41.7277,41.7060,0.0000,bullish,0.0424,0.1000,,,943.17,"Buy Init: RSI(33.42)<=OS(35), 15mOK, >VWAP",41.510,
20250403 12:23:00 US/Eastern,UGL_aggressive,BUY,25,31.4900,31.4900,29.76,-0.0299,-0.0185,31.5513,31.6170,0.0000,bearish,0.0296,0.1000,,,155.92,"Buy Init: RSI(29.76)<=OS(35), 15mOK, >VWAP",31.390,
20250403 12:28:00 US/Eastern,PSQ_aggressive,SELL,25,41.6400,41.6100,44.49,-0.0219,-0.0302,41.7248,41.6575,0.0000,bullish,0.0433,0.1000,0.750,0.072,1196.92,TrailingStopHit(41.648),,41.648
20250403 12:30:00 US/Eastern,UGL_aggressive,SELL,7,31.6400,31.4900,56.38,-0.0183,-0.0267,31.5511,31.5885,0.0000,bearish,0.0302,0.1000,1.050,0.476,1418.40,PartialTP 1 (1.5R @31.640),,
20250403 12:46:00 US/Eastern,UGL_aggressive,SELL,18,31.6600,31.4900,60.05,0.0116,0.0063,31.5514,31.6285,0.0000,bearish,0.0143,0.1000,3.060,0.540,1988.28,TrailingStopHit(31.663),,31.663
